crystal_system,space_group,band_gap,volume,density,density_atomic,formation_energy_per_atom,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,cluster,e_electronic,e_ionic,e_total,class
6,148,2.7772,252.1574606761564,4.368442341976125,9.005623595577015,-1.3834090758928568,1.0,49.0,48.0,10.857142857142858,31.0,142.0,111.0,61.85714285714285,1.78,3.44,1.66,2.671428571428572,2,3.230296350000001,4.595798923333335,7.826095273333336,train
3,62,0.0175,395.2494812826105,3.57761762083351,19.76247406413053,-2.406501004706897,9.0,55.0,46.0,18.6,57.0,244.0,187.0,116.2,0.79,3.98,3.19,2.732,9,20.808738203333338,6.990348946666667,27.79908715,train
4,6,1.0490999999999997,353.1698534391033,3.766202377429469,14.715410559962637,-2.259200128273809,8.0,51.0,43.0,15.291666666666666,66.0,139.0,73.0,84.70833333333333,1.83,3.44,1.61,2.990833333333333,9,3.97758433,16.761511773333336,20.73909610333333,train
3,36,0.6253,223.88759817153823,4.603182321098053,22.388759817153822,-0.9575243766249996,11.0,46.0,35.0,27.2,120.0,166.0,46.0,142.2,0.93,2.55,1.6199999999999997,1.832,6,8.363683063333333,6.600465383333334,14.964148446666668,train
0,225,2.7815000000000003,294.2691896486404,3.4203401496334105,32.69657662762671,-1.7204429284418892,17.0,55.0,38.0,29.33333333333333,102.0,244.0,142.0,137.55555555555554,0.79,3.16,2.37,2.515555555555556,2,3.008075593333274,4.7688225566665725,7.776898149999847,train
1,82,0.3443999999999998,247.91949115458263,5.324653791873214,35.41707016494038,-0.5278137334975384,25.0,52.0,27.0,47.285714285714285,138.0,142.0,4.0,139.28571428571428,1.55,2.1,0.55,1.93,6,9.878858642134205,3.266514724698834,13.145373366833036,train
3,64,0.5601,214.23004061424183,3.375432189913843,15.302145758160131,-2.5499674175,9.0,29.0,20.0,14.714285714285714,57.0,203.0,146.0,109.42857142857144,0.82,3.98,3.16,2.78,9,4.46118507689125,5.645474778433351,10.106659855324605,train
3,36,3.1028,158.62541495706338,5.685921711100085,13.21878457975528,-1.232323945388888,7.0,73.0,66.0,19.666666666666668,71.0,170.0,99.0,110.83333333333331,1.31,3.04,1.73,2.206666666666667,0,5.258662853333333,4.47409363,9.732756483333333,train
5,2,1.6567,510.98964781934046,2.977987927380984,31.93685298870878,-0.6567948458593751,16.0,55.0,39.0,25.75,105.0,244.0,139.0,139.75,0.79,2.58,1.79,2.1325000000000003,10,3.929763956666667,4.343693063333332,8.27345702,train
1,121,0.0,584.2777648217935,2.6855038635013115,18.258680150681048,-1.7632724043351296,8.0,25.0,17.0,14.25,66.0,203.0,137.0,126.5,0.82,3.44,2.62,2.22125,9,2.856840476666666,38.76124293462153,41.61808341128819,train
6,161,0.0,100.00880325404562,5.132560035281104,10.000880325404562,-2.5801838911666666,8.0,28.0,20.0,14.8,66.0,160.0,94.0,96.4,1.54,3.44,1.9,2.754,9,5.91086004,17.243554636585497,23.1544146765855,train
3,36,1.6887000000000003,274.1261675812145,6.058817689996812,11.42192364921727,-1.766777920208332,8.0,42.0,34.0,19.166666666666668,66.0,154.0,88.0,94.66666666666669,1.65,3.44,1.79,2.7791666666666663,4,6.21434791,11.928239813333333,18.14258772333333,train
3,39,1.456,187.26509372437795,2.673939630576463,46.81627343109449,-0.3933806089062486,16.0,50.0,34.0,33.0,105.0,139.0,34.0,122.0,1.96,2.58,0.6200000000000001,2.27,10,6.502240986666666,9.559353963333333,16.06159495,train
3,31,1.8471,170.1067855752359,4.985686317556067,14.175565464602991,-1.2865918303906243,8.0,48.0,40.0,19.0,66.0,144.0,78.0,88.0,1.69,3.44,1.75,3.0,2,3.62882889,6.501048100000001,10.12987699,train
4,14,2.3360000000000003,627.7611444407652,3.6250589435659366,34.875619135598065,-1.236541104166668,19.0,52.0,33.0,33.333333333333336,120.0,203.0,83.0,140.44444444444446,0.82,2.96,2.14,2.388888888888889,2,3.540559926666667,4.363692733333334,7.904252660000001,train
0,225,1.8736,41.25395267113869,2.4947536447164014,13.751317557046228,-1.394608165,8.0,11.0,3.0,10.0,66.0,166.0,100.0,132.66666666666666,0.93,3.44,2.51,1.7666666666666666,2,3.2716666528684084,4.298061296568865,7.569727949437273,train
0,215,0.8164000000000002,173.29038260089234,5.341420812523915,21.661297825111543,-0.5719401107812505,23.0,34.0,11.0,30.75,120.0,153.0,33.0,128.625,1.63,2.55,0.92,2.19125,6,8.207708289999998,0.7428640233333331,8.95057231333333,train
0,225,2.3514,274.118123503266,6.364075894031199,13.705906175163298,-2.4466704995,8.0,56.0,48.0,23.0,66.0,215.0,149.0,110.4,0.89,3.44,2.55,2.649,3,5.268117617509439,18.182054331854143,23.45017194936358,train
1,120,5.5871,335.6440590841693,1.7526965093379914,9.323446085671373,-1.6357820740277778,1.0,16.0,15.0,5.111111111111111,31.0,105.0,74.0,54.27777777777778,1.57,3.44,1.87,2.737222222222222,7,2.16522345,2.5157167533333333,4.680940203333333,train
1,131,5.4577,449.91071365581,1.7740822685212525,18.74627973565875,-3.023584144166667,8.0,14.0,6.0,10.0,66.0,111.0,45.0,81.0,1.9,3.44,1.54,2.9266666666666663,1,1.9422427966666664,1.3874879466666667,3.3297307433333327,train
6,166,4.3236,114.79000509228533,4.327967542123751,14.348750636535666,-3.9765919360416655,9.0,56.0,47.0,16.5,57.0,215.0,158.0,89.625,0.89,3.98,3.09,3.28875,8,2.594818769999999,10.779887790004333,13.374706560004334,train
4,5,2.3654,130.4513493251839,4.308866551162501,11.85921357501672,-1.930447267121212,3.0,33.0,30.0,14.181818181818182,66.0,128.0,62.0,86.36363636363636,0.98,3.44,2.46,2.839090909090909,4,3.5796942133333336,6.89584107,10.475535283333334,train
1,123,0.3754999999999997,53.88608967997407,5.685125809470963,13.471522419993518,-2.3421665887499987,8.0,48.0,40.0,21.0,66.0,176.0,110.0,113.0,1.0,3.44,2.44,2.3925,9,5.505701876666669,13.700397726666669,19.20609960333333,train
6,161,3.4801,253.14696632577648,3.043778674764525,25.314696632577647,-1.6876579886666654,3.0,50.0,47.0,20.8,102.0,139.0,37.0,114.6,0.98,3.16,2.18,2.484,0,3.776425046666665,12.261220376681598,16.037645423348263,train
1,139,1.6426000000000005,151.3211478162347,7.187592340905009,37.83028695405868,-0.4688898362500029,53.0,80.0,27.0,66.5,132.0,139.0,7.0,135.5,2.0,2.66,0.6600000000000001,2.33,10,7.880859076606517,32.573575570802554,40.45443464740907,train
3,19,0.8588,1108.8818421155377,5.793370047018977,23.1017050440737,-0.3363640391679065,15.0,47.0,32.0,35.166666666666664,107.0,145.0,38.0,126.16666666666669,1.93,2.55,0.6199999999999999,2.283333333333333,6,9.63907674,5.2452675966666655,14.884344336666665,train
4,5,1.2501,213.23694871625293,4.928618689756621,30.46242124517899,-1.6843453529761914,8.0,81.0,73.0,38.57142857142857,66.0,164.0,98.0,122.14285714285714,1.6,3.44,1.84,2.642857142857143,4,4.460515656666666,12.206256089999998,16.666771746666665,train
4,14,3.4374,711.4984924430124,3.699450825554369,29.64577051845885,-1.31876056527778,3.0,35.0,32.0,29.0,120.0,128.0,8.0,121.66666666666669,0.98,2.96,1.98,2.438333333333333,0,3.0270164700000013,5.233886913333336,8.260903383333337,train
1,82,1.0812999999999997,469.2228185369663,6.793690342751184,33.515915609783306,-1.7184468929762289,52.0,81.0,29.0,55.85714285714285,138.0,207.0,69.0,163.14285714285714,1.1,2.1,1.0,1.7085714285714286,9,12.47859332,12.551761975275404,25.0303552952754,train
1,121,0.5589000000000004,233.48895157130423,5.9405298354886265,33.35556451018632,-0.4736988417857147,29.0,80.0,51.0,50.0,132.0,139.0,7.0,136.0,1.9,2.66,0.7600000000000002,2.3485714285714288,6,7.257605526666663,3.239782406666667,10.49738793333333,train
4,12,0.9511000000000004,161.02609957235933,5.5426624310334,11.501864255168524,-1.6675647385714285,8.0,51.0,43.0,17.642857142857142,66.0,139.0,73.0,93.57142857142856,1.66,3.44,1.78,2.767857142857143,9,4.884333996761355,5.375598009147903,10.259932005909258,train
3,36,5.351,156.40738376050737,2.203450425905598,8.689299097805964,-2.051032988981481,3.0,8.0,5.0,5.555555555555555,66.0,128.0,62.0,94.66666666666669,0.98,3.44,2.46,2.247777777777778,1,2.702132243333333,8.839990766666666,11.54212301,train
2,194,2.0996,97.52915994979648,5.131959512605815,16.254859991632745,-1.7257583683333333,8.0,50.0,42.0,22.0,66.0,139.0,73.0,90.33333333333331,1.96,3.44,1.48,2.9466666666666668,4,3.516233233880102,3.870082291458614,7.386315525338716,train
6,146,4.3219,713.576637401879,2.7812606513243723,12.742439953604984,-2.540526693228067,3.0,25.0,22.0,10.357142857142858,66.0,139.0,73.0,84.42857142857143,0.98,3.44,2.46,2.861428571428572,8,2.6486312533333347,10.08757815999511,12.736209413328444,train
6,167,2.1959,328.6645673176261,6.48281691256342,14.939298514437551,-2.490619186363636,8.0,78.0,70.0,25.272727272727277,66.0,195.0,129.0,119.27272727272728,0.95,3.44,2.49,2.429090909090909,3,4.619728810000001,11.738848683333336,16.35857749333334,train
3,65,1.6178,61.01378780609018,5.789865919533531,10.168964634348365,-2.540498421666666,8.0,51.0,43.0,16.0,66.0,139.0,73.0,87.33333333333333,1.61,3.44,1.83,2.9033333333333338,4,4.065835336666667,7.234467586666669,11.300302923333335,train
4,14,1.0383,813.2469628551495,2.667327849939681,22.590193412643043,-0.4906882298809528,11.0,50.0,39.0,16.666666666666668,107.0,166.0,59.0,143.33333333333334,0.93,2.19,1.2599999999999998,1.4644444444444444,10,8.144940803333332,9.333433436666663,17.478374239999997,train
4,14,3.178,369.0778634921114,5.568418886234493,15.37824431217131,-1.9802233763888888,8.0,52.0,44.0,22.33333333333333,57.0,142.0,85.0,89.16666666666667,1.78,3.98,2.2,3.03,0,3.8784150833333335,5.93496326,9.813378343333332,train
5,1,1.5398,276.79857924655875,2.422414202915209,21.29219840358144,-1.2209453399999997,3.0,53.0,50.0,14.153846153846152,105.0,139.0,34.0,119.3076923076923,0.98,2.66,1.6800000000000002,1.816923076923077,10,4.238011660000001,4.17489665,8.41290831,train
3,31,3.4027,301.3470721599517,4.755152667109465,15.067353607997584,-3.0117947055321834,5.0,73.0,68.0,18.6,66.0,244.0,178.0,97.8,0.79,3.44,2.65,2.701,8,3.3965590766666662,10.777932213333331,14.174491289999995,train
3,26,4.7863,255.9464825009225,3.2142794797939023,12.797324125046128,-2.6820281065,6.0,38.0,32.0,11.8,66.0,195.0,129.0,91.9,0.95,3.44,2.49,2.769,1,2.78612974,6.237855666666666,9.023985406666666,train
2,173,1.4608999999999996,510.19861921763817,5.868221382064917,21.258275800734925,-1.6911815685416645,16.0,67.0,51.0,32.666666666666664,105.0,192.0,87.0,131.83333333333334,1.23,2.58,1.35,2.1341666666666668,4,7.947782626666666,9.054826176647303,17.002608803313972,train
0,205,3.4478,428.536132808993,2.298826173098814,11.903781466916472,-1.347655114999999,7.0,12.0,5.0,8.222222222222221,66.0,141.0,75.0,75.44444444444444,1.31,3.44,2.13,3.114444444444445,0,2.447205074833656,2.557647139470785,5.004852214304441,train
4,4,3.8407,157.00062103947695,1.397382307497537,7.850031051973848,-0.5130344722499999,1.0,8.0,7.0,3.6,31.0,71.0,40.0,46.0,2.2,3.44,1.2399999999999998,2.616,0,2.5167314166666666,4.749880889999999,7.266612306666666,train
3,43,0.4838999999999998,430.2670916237133,4.136235979382881,30.733363687408094,-0.948490984081629,15.0,56.0,41.0,32.57142857142857,107.0,215.0,108.0,153.28571428571428,0.89,2.19,1.2999999999999998,1.6328571428571428,6,9.754175293316242,9.676091046788466,19.43026634010471,train
3,44,3.2602,180.07127825513237,3.853633156859848,12.00475188367549,-1.3135101953333332,7.0,56.0,49.0,13.066666666666666,71.0,215.0,144.0,96.6,0.89,3.04,2.15,2.4406666666666665,0,4.748495953333332,6.709471400000001,11.457967353333332,train
0,216,2.2707,30.452298785809447,2.4675928982460373,10.150766261936482,-0.8117910368055554,3.0,12.0,9.0,7.333333333333333,71.0,141.0,70.0,113.33333333333331,0.98,3.04,2.06,1.7766666666666666,2,5.1168921833333,5.595501333301139,10.712393516634435,train
4,12,1.1418000000000004,293.08513802771955,2.5392640626156595,22.545010617516887,-1.057331754908425,15.0,20.0,5.0,16.923076923076923,107.0,176.0,69.0,133.53846153846155,1.0,2.19,1.19,1.7323076923076923,10,9.528613576668866,8.37769954193623,17.906313118605095,train
3,19,3.7236,462.77796949684,3.52619665601948,12.854943597134444,-2.6200656761111123,7.0,38.0,31.0,12.88888888888889,66.0,195.0,129.0,98.66666666666669,0.95,3.44,2.49,2.4966666666666666,8,3.47940819,8.275435696666667,11.754843886666665,train
1,140,1.5463999999999998,155.42174404613317,4.420039617235297,12.95181200384443,-1.8746950916666665,9.0,47.0,38.0,15.666666666666666,57.0,166.0,109.0,89.83333333333333,0.93,3.98,3.05,3.1300000000000003,4,2.8127853466666672,3.0153279100000003,5.8281132566666685,train
3,41,0.3415999999999999,434.4391485967967,3.128096477448428,31.031367756914047,-1.849363892857143,17.0,37.0,20.0,26.285714285714285,102.0,220.0,118.0,143.57142857142858,0.82,3.16,2.3400000000000003,2.2485714285714287,9,9.465712091553018,4.477974177713409,13.943686269266427,train
0,225,2.2306,152.8630793482185,4.251159640449616,16.9847865942465,-2.4029879288888893,9.0,46.0,37.0,19.33333333333333,57.0,220.0,163.0,102.33333333333331,0.82,3.98,3.16,3.08,3,2.254486503333327,3.749583693323105,6.004070196656432,train
6,148,1.2459,93.75832659702702,4.098209870140475,11.719790824628378,-2.645591975625,9.0,30.0,21.0,13.5,57.0,139.0,82.0,75.375,1.65,3.98,2.33,3.39875,4,2.94980767,4.898857080001856,7.848664750001856,train
6,166,1.7012999999999994,157.2625322305681,4.574209595129336,39.315633057642025,-1.6992860963958334,19.0,57.0,38.0,45.0,138.0,207.0,69.0,171.5,0.82,2.1,1.2800000000000002,1.53,4,6.116434556666667,7.24480022709924,13.361234783765909,train
1,139,2.8495000000000004,41.98421694191871,4.7311038520642335,13.99473898063957,-2.099192586666668,8.0,38.0,30.0,18.0,66.0,195.0,129.0,109.0,0.95,3.44,2.49,2.61,3,3.27296421995973,13.272389670019782,16.545353889979513,train
3,33,1.9851,712.8200349732962,3.706940248343306,35.641001748664806,-1.4671780905000005,32.0,37.0,5.0,34.8,120.0,220.0,100.0,140.0,0.82,2.96,2.14,2.342,2,3.9779209766666654,6.471080253333334,10.44900123,train
1,105,0.4772000000000003,548.1884947613943,4.764178087905891,19.57816052719265,-0.6192317234821445,7.0,38.0,31.0,25.0,71.0,195.0,124.0,137.21428571428572,0.95,3.04,2.09,1.9,6,7.336844223333334,9.812171156666668,17.14901538,train
3,19,4.8247,478.8638095754832,3.6442596132891456,14.96449404923385,-2.8765473619073294,9.0,51.0,42.0,14.75,57.0,166.0,109.0,94.5,0.93,3.98,3.05,2.97625,1,2.18532532,4.26851165,6.453836969999999,train
6,166,1.6752999999999991,173.35858147630654,2.597931562214007,7.879935521650297,-0.4402782255681824,5.0,12.0,7.0,5.818181818181818,71.0,141.0,70.0,88.0,1.31,3.04,1.73,2.0645454545454545,10,7.255404253333334,8.024570073333333,15.279974326666666,train
0,212,0.6375000000000002,539.7448330152235,4.325629355068115,11.24468402115049,-1.4870843313577575,8.0,28.0,20.0,13.916666666666666,66.0,139.0,73.0,89.08333333333333,1.55,3.44,1.89,2.84,9,8.525197130000002,7.550805979999997,16.07600311,train
0,225,5.949400000000001,37.40551869412881,2.5790805387069127,18.702759347064404,-2.917520910625,9.0,19.0,10.0,14.0,57.0,203.0,146.0,130.0,0.82,3.98,3.16,2.4,1,2.0940120366664536,3.157719133389849,5.251731170056304,train
1,99,1.813,64.50656431866487,7.801556471692714,12.901312863732974,-2.547393358333332,8.0,82.0,74.0,25.6,66.0,160.0,94.0,100.8,1.54,3.44,1.9,2.838,4,6.439158063333333,35.93321149333333,42.37236955666666,train
5,1,0.0,201.74949824644708,4.595774495978309,11.208305458135948,-1.7543559426851856,3.0,51.0,48.0,14.0,66.0,139.0,73.0,95.22222222222224,0.98,3.44,2.46,2.5677777777777777,9,7.965369286666667,7.971881156666669,15.937250443333337,train
3,62,0.0,482.6282120889446,5.651366987063736,24.13141060444724,-0.6863518204062494,24.0,51.0,27.0,35.4,120.0,139.0,19.0,127.6,1.66,2.55,0.8899999999999999,2.272,6,16.84407687,18.943803526666667,35.78788039666666,train
4,11,1.1862000000000004,448.70492569103305,2.931152546592913,28.04405785568957,-0.5576802861562502,13.0,33.0,20.0,22.75,119.0,203.0,84.0,151.0,0.82,2.18,1.3600000000000003,1.5275,10,6.70534451,6.05059382,12.75593833,train
3,62,0.8940000000000001,430.2095810510133,3.229329942502832,21.510479052550668,-1.2923408102499991,7.0,33.0,26.0,20.0,71.0,176.0,105.0,143.6,1.0,3.04,2.04,1.6439999999999997,10,8.580527366666667,19.64326794333333,28.22379531,train
5,2,1.7553,241.37982016273432,2.636639162911701,26.81998001808159,-0.7004242516666694,16.0,46.0,30.0,20.0,102.0,139.0,37.0,106.77777777777776,2.2,3.16,0.96,2.9244444444444446,10,3.5407163166666664,1.7826490433333333,5.32336536,train
4,8,0.6506999999999998,376.9194900106315,4.776048819826277,15.704978750442978,-2.823864591458333,7.0,56.0,49.0,20.166666666666668,66.0,215.0,149.0,103.33333333333331,0.89,3.44,2.55,2.734166666666667,9,5.253153554970608,30.02216538868948,35.27531894366008,train
3,60,3.5604,136.1775827918353,5.043690091135068,11.348131899319611,-2.5607314625,9.0,30.0,21.0,16.0,57.0,122.0,65.0,78.66666666666667,1.65,3.98,2.33,3.203333333333333,8,2.55337463,5.82240845,8.37578308,train
4,14,0.0,265.3825000334893,6.270438667679409,11.057604168062056,-1.447009399027778,8.0,52.0,44.0,18.5,66.0,138.0,72.0,88.0,1.88,3.44,1.56,2.9566666666666666,9,5.955974433333334,8.519422256666667,14.475396690000002,train
