space_group,band_gap,density,density_atomic,formation_energy_per_atom,e_total,e_ionic,e_electronic,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,cluster
173,1.4423000000000004,5.957552111026017,25.81481903724841,-1.6154575352560765,17.18915838665573,8.379923833322394,8.809234553333333,14.0,59.0,45.0,39.66666666666666,111.0,203.0,92.0,142.08333333333334,1.13,2.55,1.42,2.0891666666666664,0
148,0.0,5.69840598894483,13.35273917413877,-2.310142698437501,8.953313013335348,5.759626556668683,3.1936864566666663,9.0,80.0,71.0,19.75,57.0,139.0,82.0,76.625,1.66,3.98,2.3200000000000003,3.4425,0
152,4.0656,2.0329813993207093,27.08330942930464,-0.2686612493869739,3.9756622634042222,1.825061076737556,2.1506011866666674,6.0,55.0,49.0,14.666666666666666,71.0,244.0,173.0,101.5,0.79,3.04,2.25,2.501666666666667,0
225,0.1981000000000001,6.182079271949387,23.640229689617712,-1.0932396656249992,58.67445272666663,23.92863440666667,34.74581831999996,20.0,79.0,59.0,38.0,119.0,176.0,57.0,151.75,1.0,2.54,1.54,1.68,0
139,4.3016000000000005,3.419061171551072,15.236140380254495,-2.8560153146428573,9.05645102651173,6.910176199845064,2.1462748266666667,9.0,30.0,21.0,14.857142857142858,57.0,203.0,146.0,108.0,0.82,3.98,3.16,2.744285714285714,0
186,0.9179000000000004,4.178128601351843,29.55762725823917,-0.2440902624999985,12.829562981303193,1.3064358994508003,11.523127081852394,13.0,51.0,38.0,32.0,121.0,139.0,18.0,130.0,1.61,2.05,0.4399999999999997,1.83,0
225,4.1775,2.9014704311572466,17.958546164896163,-0.4591070318318975,9.336514046666602,6.403574249999956,2.932939796666647,6.0,55.0,49.0,14.125,71.0,244.0,173.0,102.6875,0.79,3.04,2.25,2.3912500000000003,0
186,2.2226000000000017,3.2280332056905285,10.31298352272744,-0.2035811954999999,10.524086180000069,3.400765086666737,7.123321093333332,6.0,14.0,8.0,10.0,76.0,111.0,35.0,93.5,1.9,2.55,0.6499999999999999,2.225,0
160,2.1535,3.17893909205653,32.58505510348421,-1.7120592189310344,13.315891726699382,9.673661893366049,3.642229833333333,17.0,55.0,38.0,27.6,102.0,244.0,142.0,134.0,0.79,3.16,2.37,2.4560000000000004,0
225,4.1644,3.119627169319008,13.367027143443668,-3.1451961892833338,8.099122323333335,5.8482839533333335,2.2508383700000008,3.0,24.0,21.0,11.9,57.0,203.0,146.0,101.5,0.82,3.98,3.16,2.816,0
225,0.5671999999999997,7.282410625059173,15.444141084441553,-1.7730707838235285,16.98257018666663,9.048277256666646,7.934292929999981,8.0,78.0,70.0,29.294117647058822,66.0,142.0,76.0,103.52941176470588,1.78,3.44,1.66,2.594117647058824,0
220,4.026700000000001,3.411328170996549,9.75514053533656,-1.2214459228571428,9.408913850001513,4.716144600001592,4.6927692499999205,7.0,14.0,7.0,10.0,71.0,111.0,40.0,88.14285714285714,1.9,3.04,1.14,2.551428571428571,0
122,2.3768,5.871984239194752,19.81281722795645,-2.074672847857145,24.762593096666663,17.232777789999997,7.529815306666667,12.0,69.0,57.0,30.571428571428573,105.0,190.0,85.0,134.42857142857142,1.25,2.58,1.33,2.0185714285714287,0
166,1.0191999999999997,5.105290087782719,24.046993683231964,-1.0091971145312488,19.12842396999921,11.571605083332544,7.556818886666669,11.0,49.0,38.0,32.0,120.0,166.0,46.0,137.0,0.93,2.55,1.6199999999999997,1.9525,0
187,1.5378,3.5733603445392474,52.93857664149558,-0.587869466041667,4.7077147866203335,0.0581577032870001,4.649557083333334,34.0,74.0,40.0,47.333333333333336,120.0,162.0,42.0,134.0,2.36,2.55,0.1899999999999999,2.4866666666666664,0
160,5.3358,2.28265342975124,17.82997188184398,-1.13508629595,6.000869540209763,3.6896991702097632,2.3111703700000006,8.0,19.0,11.0,12.0,66.0,203.0,137.0,100.6,0.82,3.44,2.62,2.8600000000000003,0
136,0.9644,3.3129160556126505,9.478093922899776,-1.7795456746428566,15.286348160000005,10.00793835666667,5.278409803333332,3.0,29.0,26.0,8.857142857142858,66.0,132.0,66.0,102.0,0.98,3.44,2.46,2.165714285714286,0
225,4.192,3.326427543971318,41.276464132165934,-2.07054547875,5.691667823333859,3.23887136000056,2.452796463333298,35.0,37.0,2.0,36.0,120.0,220.0,100.0,170.0,0.82,2.96,2.14,1.89,0
122,2.6857,4.487559749071903,11.782922607474177,-2.2524047833333327,9.341666316666666,5.91318304,3.428483276666667,8.0,30.0,22.0,15.142857142857142,66.0,122.0,56.0,88.42857142857143,1.65,3.44,1.79,2.7085714285714286,0
216,0.0655000000000001,9.89921646773715,26.058356295533656,-0.8557740133333311,25.54877467000004,0.6232092900000002,24.92556538000004,50.0,79.0,29.0,63.66666666666666,136.0,198.0,62.0,157.66666666666666,1.17,2.54,1.37,1.89,0
160,0.940999999999999,7.221651617365096,17.390758796187765,-0.6444907477777768,33.91175664055492,11.293967481614352,22.617789158940564,22.0,51.0,29.0,33.333333333333336,124.0,160.0,36.0,142.33333333333334,1.54,2.05,0.5099999999999998,1.82,0
136,2.994,3.649149901787085,18.02721259254421,-0.4901403539285707,6.097859683333335,3.264720610000001,2.8331390733333337,1.0,78.0,77.0,17.142857142857142,31.0,203.0,172.0,95.14285714285714,0.82,2.28,1.46,1.8171428571428567,0
163,7.3154,3.4697203311455245,12.524598224754842,-3.8778360842592594,6.771641433333332,4.762974619999999,2.0086668133333325,3.0,38.0,35.0,12.0,57.0,195.0,138.0,87.33333333333333,0.95,3.98,3.03,3.0466666666666664,0
141,0.7066000000000003,5.966342279775017,27.12834042254867,-0.929586170266702,38.69335751180989,15.374966214724148,23.318391297085743,11.0,83.0,72.0,40.5,120.0,166.0,46.0,138.5,0.93,2.55,1.6199999999999997,2.0125,0
216,0.0,4.519050397698166,13.956879140809663,-0.3224003004166667,52.84958500666676,13.873394696666663,38.9761903100001,3.0,32.0,29.0,17.0,120.0,128.0,8.0,124.5,0.98,2.01,1.0299999999999998,1.4049999999999998,0
198,3.1608,4.25406731167618,23.764080471627928,-1.7786312524999983,8.82257695,5.7454829300000005,3.07709402,8.0,51.0,43.0,26.571428571428573,66.0,220.0,154.0,142.42857142857142,0.82,3.44,2.62,2.1185714285714288,0
150,6.4738,5.61688930055432,12.876732477503484,-3.831392792777775,14.683759506661351,12.345438496661352,2.33832101,9.0,90.0,81.0,18.444444444444443,57.0,206.0,149.0,97.77777777777776,0.93,3.98,3.05,3.0044444444444443,0
194,1.5794999999999997,5.667091788849184,9.658204808979937,-2.684231572083335,16.462366106675475,7.76589598000881,8.696470126666666,3.0,41.0,38.0,15.0,66.0,164.0,98.0,106.0,0.98,3.44,2.46,2.365,0
218,4.2134,2.5996991428471787,14.138908694695226,-2.174191101099404,5.217307943333335,2.751277533333333,2.466030410000001,1.0,32.0,31.0,10.51851851851852,31.0,166.0,135.0,88.4074074074074,0.93,3.44,2.51,2.4703703703703703,0
148,2.1901,6.414157110926934,13.639613757503,-2.0048701343749995,5.553643913333978,2.535391110000644,3.018252803333334,9.0,78.0,69.0,22.5,57.0,144.0,87.0,77.75,1.69,3.98,2.29,3.48125,0
164,3.9764,3.3145568513690544,22.61467717982964,-2.557642436637932,7.4021349,4.558234863333334,2.843900036666667,8.0,55.0,47.0,20.166666666666668,66.0,244.0,178.0,105.83333333333331,0.79,3.44,2.65,2.8208333333333333,0
139,2.5062,4.157339186415229,30.863170093354366,-1.9941986391666664,10.88330038,8.07803989,2.80526049,9.0,55.0,46.0,33.0,57.0,244.0,187.0,140.33333333333334,0.79,3.98,3.19,2.5766666666666667,0
